1-(4-бромфенил)виолуровая кислота;1-(4-bromphenyl)violuric acid
вакцина для профилактики кори, паротита, краснухи и ветряной оспы;measles, mumps, rubella, and varicella vaccine
вакцина для профилактики лихорадки Эбола;vaccine for prevention of Ebola virus disease
вакцина для профилактики менингококковой инфекции серотипа A полисахаридная;meningococcal group A polysaccharide vaccine
Вакцина для профилактики менингококковых инфекций серогрупп A, C, W, Y, полисахаридная, конъюгированная;polysaccharide vaccine for prevention of meningococcal infection of serogroups A, C, W, Y conjugated
вакцина для профилактики новой коронавирусной инфекции, вызываемой вирусом SARS-CoV-2;vaccine for preventing of new coronavirus infection caused by the SARS-CoV-2 virus
вакцина для профилактики опоясывающего герпеса (рекомбинантная, адъювантная);Herpes zoster vaccine (recombinant, adjuvanted)
вакцина для профилактики полиомиелита;poliomyelitis vaccine (inactivated)
вакцина для профилактики птичьего гриппа (живая);avian influenza vaccine, alive
вакцина для профилактики чумы, живая;plague vaccine, live
вакцина краснушная (живая);rubella vaccine (live)
вакцина менингитная полисахаридная;meningococcal polysaccharide vaccine
вакцина менингококковая полисахаридная А и С комбинированная;meningococcal polysaccharide vaccine groups a and c combined
вакцина оспенная;smallpox vaccine
вакцина пневмококковая полисахаридная;pneumococcal polysaccharide vaccine
вакцина пневмококковая полисахаридная конъюгированная адсорбированная - 13-валентная;pneumococcal polysaccharide conjugate vaccine (adsorbed), 13 valent
вакцина полиомиелитная живая (для приема внутрь);poliomyelitis vaccine live (oral)
вакцина против бешенства инактивированная, приготовленная в культуре клеток;rabies vaccine for human use prepared in cell cultures
вакцина против ветряной оспы живая;varicella vaccine (live)
вакцина против гемофильной палочки конъюгированная;haemophilus influenza conjugate vaccine
вакцина против гемофильной палочки, конъюгированная со столбнячным анатоксином;haemophilus influenzae conjugate vaccine (tetanus toxoid conjugate)
вакцина против гепатита B;hepatitis B vaccine
вакцина против гепатита B рекомбинантная;hepatitis B vaccine (rDNA)
вакцина против клещевого энцефалита (инактивированная);tick-borne encephalitis vaccine (inactivated)
вакцина против паротита;mumps vaccine (live)
вакцина противогриппозная инактивированная (поверхностный антиген);inactivated influenza vaccine (surface antigen)
вакцина противогриппозная инактивированная (расщепленная);influenza vaccine (split virion), inactivated
вакцина ротавирусная (живая, пероральная);rotavirus vaccine (live, oral)
вакцина туберкулезная бцж;BCG vaccine
валацикловир;valaciclovir
валганцикловир;valganciclovir
валериана;Valerian
валерианы лекарственной корневищ с корнями экстракт;extractum rhizomatum cum radicibus Valerianae officinalis
валин;valine
валсартан;valsartan
вальпроевая кислота;valproic acid
вандетаниб;vandetanib
ванкомицин;vancomycin
габапентин;gabapentin
гадобеновая кислота;gadobenic acid
гадобутрол;gadobutrol
гадоверсетамид;gadoversetamide
гадодиамид;gadodiamide
гадоксетовая кислота;gadoxetic acid
гадопентетовая кислота;gadopentetic acid
гадотеридол;gadoteridol
гадотеровая кислота;gadoteric acid
гаксилоза;gaxilose
галантамин;galantamine
галлия (67 Ga) цитрат;gallium (67 Ga) citrate
галоперидол;haloperidol
коклюшная (адсорбированная);diphtheria, tetanus and pertussis vaccine (adsorbed)
дабигатрана этексилат;dabigatran etexilate
дабрафениб;dabrafenib
дазатиниб;dasatinib
дакарбазин;dacarbazine
даклатасвир;daclatasvir
даклизумаб;daclizumab
дакомитиниб;dacomitinib
дактиномицин;dactinomycin
далбаванцин;dalbavancin
далтепарин натрия;dalteparin sodium
желатин;gelatin
железа (III) гидроксид полимальтозат;iron polymaltose
железа [III] гидроксид декстран;iron [III] dextran hydroxide
железа [III] гидроксид олигоизомальтозат;iron oligoisomaltose
железа глюконат;ferrous gluconate
железа карбоксимальтозат;ferric carboxymaltose
железа протеин сукцинилат;iron proteinsuccinylate
железа сульфат;ferrous sulfate
железа фумарат;ferrous fumarate
железо-сахарозный комплекс;iron sucrose
желчь;bile
женьшень;Ginseng
залеплон;zaleplon
залцитабин;zalcitabine
занамивир;zanamivir
занубрутиниб;zanubrutinib
зафирлукаст;zafirlukast
зверобоя трава;Hyperici herba
зидовудин;zidovudine
зипрасидон;ziprasidone
змеевика корневища;rhizomata Bistortae
золедроновая кислота;zoledronic acid
золмитриптан;zolmitriptan
золотарник канадский;Goldenrod
золототысячника трава;Centaurii herba
золпидем;zolpidem
зонисамид;zonisamide
зопиклон;zopiclone
зофеноприл;zofenopril
зуклопентиксол;zuclopenthixol
ибандроновая кислота;ibandronic acid
ибритумомаб тиуксетан;ibritumomab tiuxetan
ибрутиниб;ibrutinib
ибупрофен;ibuprofen
йобитридол;iobitridol
йоверсол;ioversol
йогексол;iohexol
йод;iodine
йодамид;iodamide
йодиксанол;iodixanol
йоксагловая кислота;ioxaglic acid
йокситаламовая кислота;ioxitalamic acid
йомепрол;iomeprol
